time,ITAir,ITLiq
673200,337394.8277,337394.8277
676800,342494.8508,342494.8508
680400,315759.0667,315759.0667
684000,310849.8114,310849.8114
687600,352158.0572,352158.0572
691200,347051.9576,347051.9576
694800,363986.1618,363986.1618
698400,290108.1014,290108.1014
702000,339489.313,339489.313
705600,377944.9681,377944.9681
709200,375000.5099,375000.5099
712800,343115.0932,343115.0932
716400,363837.3401,363837.3401
720000,380057.9784,380057.9784
723600,376173.0292,376173.0292
727200,398813.6045,398813.6045
730800,360737.5221,360737.5221
734400,395885.9988,395885.9988
738000,406189.1922,406189.1922
741600,393437.5467,393437.5467
745200,358517.0692,358517.0692
748800,349708.834,349708.834
752400,328044.9139,328044.9139
756000,332861.0037,332861.0037
759600,334380.1814,334380.1814
763200,361725.9819,361725.9819
766800,380732.8715,380732.8715
770400,354464.3524,354464.3524
774000,337919.8666,337919.8666
777600,311893.3967,311893.3967
781200,345632.964,345632.964
784800,334669.7512,334669.7512
788400,297597.8845,297597.8845
792000,274786.4317,274786.4317
795600,292336.5162,292336.5162
799200,299718.3832,299718.3832
802800,286872.0652,286872.0652
806400,365644.2022,365644.2022
810000,341200.0268,341200.0268
813600,384427.0203,384427.0203
817200,343917.374,343917.374
820800,368873.5293,368873.5293
824400,359534.6336,359534.6336
828000,384325.8649,384325.8649
831600,373861.3456,373861.3456
835200,353702.9358,353702.9358
838800,355950.7904,355950.7904
842400,337835.8328,337835.8328
846000,320960.6633,320960.6633
849600,365148.9113,365148.9113
853200,351239.1632,351239.1632
856800,346181.7031,346181.7031
860400,357475.5269,357475.5269
864000,362206.8215,362206.8215
867600,365627.3687,365627.3687
871200,418579.4821,418579.4821
874800,358192.4146,358192.4146
878400,347221.2802,347221.2802
882000,330691.6071,330691.6071
885600,294251.1677,294251.1677
889200,313815.2737,313815.2737
892800,325399.6757,325399.6757
896400,314170.3742,314170.3742
900000,297649.4509,297649.4509
903600,310896.2268,310896.2268
907200,312146.9022,312146.9022
910800,351484.064,351484.064
914400,349464.9638,349464.9638
918000,355954.7723,355954.7723
921600,357562.9314,357562.9314
925200,381495.8131,381495.8131
928800,364399.9935,364399.9935
932400,346462.5417,346462.5417
936000,355323.8319,355323.8319
939600,336633.5313,336633.5313
943200,334924.7305,334924.7305
946800,335098.7946,335098.7946
950400,353991.0123,353991.0123
954000,380980.8909,380980.8909
957600,352346.1244,352346.1244
961200,307064.1445,307064.1445
964800,296996.7584,296996.7584
968400,324659.2706,324659.2706
972000,291872.4655,291872.4655
975600,276911.4012,276911.4012
979200,296054.8643,296054.8643
982800,306324.1097,306324.1097
986400,280403.4048,280403.4048
990000,306873.383,306873.383
993600,319113.514,319113.514
997200,329950.0397,329950.0397
1000800,343287.2435,343287.2435
1004400,348684.6419,348684.6419
1008000,333745.6952,333745.6952
1011600,346721.6097,346721.6097
1015200,341567.1404,341567.1404
1018800,339927.0668,339927.0668
1022400,347823.9497,347823.9497
1026000,333137.3931,333137.3931
1029600,318716.8134,318716.8134
1033200,313994.6622,313994.6622
1036800,339340.8279,339340.8279
1040400,303520.4941,303520.4941
1044000,284927.5022,284927.5022
1047600,281100.0098,281100.0098
1051200,265277.8601,265277.8601
1054800,254847.1281,254847.1281
1058400,251969.7087,251969.7087
1062000,266823.901,266823.901
1065600,257489.1001,257489.1001
1069200,272579.3791,272579.3791
1072800,246720.2494,246720.2494
1076400,261720.7389,261720.7389
1080000,274603.2422,274603.2422
1083600,289747.987,289747.987
1087200,259590.7919,259590.7919
1090800,262645.4162,262645.4162
1094400,260589.6783,260589.6783
1098000,275126.5221,275126.5221
1101600,281237.8684,281237.8684
1105200,285608.3082,285608.3082
1108800,263496.9659,263496.9659
1112400,258234.4578,258234.4578
1116000,258809.5433,258809.5433
1119600,257622.6973,257622.6973
1123200,300540.1633,300540.1633
1126800,274477.0067,274477.0067
1130400,236769.644,236769.644
1134000,229103.6395,229103.6395
1137600,232141.6168,232141.6168
1141200,220986.336,220986.336
1144800,230434.3569,230434.3569
1148400,228954.2092,228954.2092
1152000,258575.1592,258575.1592
1155600,229087.7497,229087.7497
1159200,253280.9753,253280.9753
1162800,258373.7156,258373.7156
1166400,259173.5739,259173.5739
1170000,273343.4128,273343.4128
1173600,272143.7401,272143.7401
1177200,271870.9598,271870.9598
1180800,279517.2065,279517.2065
1184400,283423.6059,283423.6059
1188000,280807.5444,280807.5444
1191600,289660.1248,289660.1248
1195200,281797.8353,281797.8353
1198800,299635.612,299635.612
1202400,295251.1142,295251.1142
1206000,304590.1897,304590.1897
1209600,292607.8055,292607.8055
1213200,339102.1067,339102.1067
1216800,307941.394,307941.394
1220400,300759.0666,300759.0666
1224000,289916.4619,289916.4619
1227600,286023.475,286023.475
1231200,261187.149,261187.149
1234800,281786.9443,281786.9443
1238400,297345.2145,297345.2145
1242000,281713.985,281713.985
1245600,321493.8777,321493.8777
1249200,288441.5796,288441.5796
1252800,297339.7956,297339.7956
1256400,367576.7463,367576.7463
1260000,318283.6855,318283.6855
1263600,322730.8973,322730.8973
1267200,326652.2286,326652.2286
1270800,357315.044,357315.044
1274400,347546.4362,347546.4362
1278000,355765.2263,355765.2263
1281600,328979.3064,328979.3064
1285200,348577.2002,348577.2002
1288800,357390.104,357390.104
1292400,365809.7964,365809.7964
1296000,392452.6843,392452.6843
1299600,346176.8519,346176.8519
1303200,331162.61,331162.61
1306800,311031.2407,311031.2407
1310400,306358.6035,306358.6035
1314000,309418.7019,309418.7019
1317600,305620.2354,305620.2354
1321200,301590.9115,301590.9115
1324800,298006.0718,298006.0718
1328400,278101.9224,278101.9224
1332000,291242.1186,291242.1186
1335600,297660.4433,297660.4433
1339200,308807.4789,308807.4789
1342800,346291.1974,346291.1974
1346400,367489.3587,367489.3587
1350000,334850.6842,334850.6842
1353600,380343.5427,380343.5427
1357200,340327.9282,340327.9282
1360800,318388.4021,318388.4021
1364400,326874.8319,326874.8319
1368000,332495.6986,332495.6986
1371600,332087.983,332087.983
1375200,353195.1486,353195.1486
1378800,376986.3767,376986.3767
1382400,369297.4682,369297.4682
1386000,336738.8956,336738.8956
1389600,335538.6646,335538.6646
1393200,357068.9945,357068.9945
1396800,339586.6885,339586.6885
1400400,330396.3626,330396.3626
1404000,322354.4275,322354.4275
1407600,302051.325,302051.325
1411200,312371.9943,312371.9943
1414800,309586.5289,309586.5289
1418400,251870.799,251870.799
1422000,271970.3939,271970.3939
1425600,280074.0481,280074.0481
1429200,284853.8411,284853.8411
1432800,297268.6972,297268.6972
1436400,305726.8446,305726.8446
1440000,322299.1344,322299.1344
1443600,318241.0618,318241.0618
1447200,346823.0497,346823.0497
1450800,322006.1636,322006.1636
1454400,387866.3393,387866.3393
1458000,365362.314,365362.314
1461600,355165.0745,355165.0745
1465200,327753.2511,327753.2511
1468800,376890.1896,376890.1896
1472400,366345.3488,366345.3488
1476000,314470.6036,314470.6036
1479600,286086.9801,286086.9801
1483200,284105.706,284105.706
1486800,313764.2785,313764.2785
1490400,312662.2437,312662.2437
1494000,298770.6595,298770.6595
1497600,291652.8011,291652.8011
1501200,314806.9405,314806.9405
1504800,279740.1901,279740.1901
1508400,387089.7839,387089.7839
1512000,374858.0629,374858.0629
1515600,405174.6716,405174.6716
1519200,405281.7168,405281.7168
1522800,404301.8386,404301.8386
1526400,371610.6693,371610.6693
1530000,355764.0298,355764.0298
1533600,326767.0599,326767.0599
1537200,338547.4126,338547.4126
1540800,331982.7976,331982.7976
1544400,322369.2543,322369.2543
1548000,314966.4545,314966.4545
1551600,345431.6495,345431.6495
1555200,376656.2301,376656.2301
1558800,370311.1358,370311.1358
1562400,330373.7429,330373.7429
1566000,334387.901,334387.901
