tdry_profile,twet_profile
255.14999999999998,254.32717362028663
255.14999999999998,254.32717362028663
256.54999999999995,255.62591324986417
257.84999999999997,256.95438312574345
258.75,258.03468795349823
260.15,259.2346828002534
262.04999999999995,261.1849628196008
263.45,262.3536769218411
265.45,264.18799312744477
267.25,265.8130398743578
270.95,268.522975118161
274.54999999999995,270.85615963651804
275.95,271.5921721041251
277.54999999999995,272.41658143075637
276.45,271.7205512215158
277.04999999999995,272.0833782034692
275.34999999999997,270.7947344170754
272.54999999999995,269.3305039936152
270.95,268.3106604629142
268.15,266.04275986608974
267.54999999999995,265.3547687135219
267.04999999999995,264.85624726272016
267.04999999999995,264.85624726272016
267.04999999999995,264.5400554217894
268.15,265.3521416459386
268.15,265.2982710768776
267.54999999999995,264.74406442994734
268.15,265.1520649268082
266.45,263.8507317099308
267.54999999999995,264.68968620850507
267.04999999999995,264.30550044766494
268.75,265.5794405661816
270.34999999999997,266.7970052295281
271.45,267.70604809139087
275.34999999999997,270.51909078470175
278.75,272.76302390642365
282.04999999999995,274.2072120574854
282.54999999999995,274.6282910925099
282.54999999999995,274.9302756899745
283.15,275.93540870941143
280.95,274.34935382909686
279.84999999999997,273.62904723378324
278.15,272.6351691453804
274.25,270.0540042826856
273.15,269.3289770288058
271.45,268.029878696239
272.04999999999995,268.2431963256548
273.75,269.30969939667335
273.15,268.9172142436562
272.54999999999995,268.4846410176185
272.54999999999995,268.4846410176185
272.04999999999995,268.1520788623806
271.45,267.70604809139087
271.45,267.70604809139087
272.04999999999995,268.09731547777466
272.04999999999995,268.1520788623806
272.54999999999995,268.54525831744115
276.45,271.1042244798466
278.75,272.6335691478789
279.25,273.60433847859605
279.84999999999997,273.33666304764546
278.75,273.02310262521706
277.75,272.15726176560446
275.45,270.6846992439224
272.84999999999997,268.88556391774944
270.15,266.8159241955264
267.34999999999997,264.90270615948896
267.54999999999995,264.7873835850481
265.95,263.85243229897355
264.34999999999997,262.42396801290147
263.25,261.4761435913201
261.75,260.20732857855074
260.75,259.61082800759476
259.65,258.8321443741287
256.95,256.26152659012473
256.95,256.11308251823385
258.45,257.43018080769684
258.95,257.8437429831707
259.84999999999997,258.57334675547054
261.34999999999997,259.6762376907058
264.04999999999995,262.11853853855894
267.25,264.7474135642372
272.65,268.87476539035055
276.45,271.6657956997511
276.95,272.1773527984525
281.15,275.0639512128094
282.75,276.2020978778669
284.25,277.1424893269714
283.15,276.5068530212344
280.34999999999997,275.2150110386648
280.34999999999997,275.0604641145865
279.25,273.95316387007836
280.34999999999997,274.14558425435035
279.25,273.39764358292445
278.75,273.02310262521706
278.15,272.6970304228913
283.15,275.5388459751454
278.15,272.6970304228913
283.75,276.3679280934764
284.25,276.72834870535314
282.54999999999995,275.7785324407244
282.54999999999995,275.7785324407244
282.54999999999995,275.86934542425377
278.15,273.4036382491516
283.15,276.69329934138614
282.04999999999995,276.013815027258
285.95,278.07100032073754
285.95,277.7147992748425
288.15,278.841761568097
287.54999999999995,278.43325745131574
285.95,277.7147992748425
283.15,276.97059493520675
281.45,275.87235699278034
278.75,274.5410203351143
278.75,273.08856374931617
277.04999999999995,271.91409594044507
276.45,271.61167447614724
274.84999999999997,270.6364340963147
273.15,269.50824282374515
273.75,269.73611148519853
273.15,269.2044927888912
273.15,269.08894490745706
274.25,269.6516196220715
273.75,269.2145187307852
273.15,268.82727579763224
272.54999999999995,268.4846410176185
273.15,268.85613306399557
272.54999999999995,268.54525831744115
272.54999999999995,268.4846410176185
272.54999999999995,268.6446789496291
273.15,269.7525541267308
273.15,269.7525541267308
274.25,270.240162501552
274.84999999999997,270.8941442890171
274.25,270.4918378183537
274.84999999999997,270.7887101629091
273.75,270.1167637361756
272.54999999999995,269.3305039936152
271.45,268.81704416374555
269.84999999999997,267.61608234834125
268.75,266.9657072276302
267.04999999999995,265.96546229391254
265.34999999999997,264.59540559012976
265.34999999999997,264.09145481041946
264.25,263.2341570042438
264.25,263.2341570042438
264.84999999999997,263.8194394660015
262.54999999999995,261.6250373713568
260.95,260.2508811071029
259.25,258.81165050354207
260.34999999999997,259.4297809954455
260.34999999999997,259.4297809954455
270.34999999999997,266.98063873234776
272.54999999999995,268.4846410176185
274.25,269.5171098542033
275.95,270.8331794160322
278.15,272.14999230760617
278.75,272.30889478167865
278.15,271.7903947853749
278.15,271.7903947853749
277.54999999999995,271.5665790210349
278.15,271.91048714332965
278.75,272.17757775717024
278.15,271.85050123958246
277.54999999999995,271.5665790210349
275.34999999999997,270.232705839291
272.54999999999995,268.6446789496291
273.15,269.08894490745706
274.84999999999997,270.1012237305548
274.84999999999997,270.06213255406504
274.25,269.72463733407767
272.54999999999995,268.54525831744115
271.45,267.8216238989795
269.84999999999997,266.7457377108964
269.84999999999997,266.62287793329295
268.75,265.86817629717393
270.34999999999997,266.98063873234776
275.34999999999997,270.51909078470175
278.15,272.4514731448998
280.34999999999997,273.84003779596543
280.95,274.0216612446118
283.75,276.05816280518803
283.75,275.73718571825077
280.95,274.18651535007166
279.84999999999997,273.55622682244115
277.54999999999995,272.23978749776927
273.75,269.73611148519853
272.54999999999995,269.3305039936152
271.45,268.60805504703563
